Variable,U,Rank_Biserial,p,Mean_Group0,SD_Group0,Mean_Group1,SD_Group1,Median_Group0,Median_Group1,N_Group0,N_Group1
O1P,729.0,0.06813186813186811,0.6184635367777389,0.09186386765149024,0.029183720821778437,0.08362957546155558,0.0382813503957267,0.0905349794238683,0.0968858131487889,35,39
O2PPl,709.0,0.03882783882783891,0.6200246888266413,0.0008525730322755171,0.002571325004050246,0.0006436175429719743,0.0024041075401013473,0.0,0.0,35,39
O3PPl+R+ASUB,655.5,-0.03956043956043953,0.6292330843851903,0.0009009246607491056,0.003077720519898409,0.0012431936940616461,0.0033678313657705293,0.0,0.0,35,39
O3PPl-R-AExpSUB,658.0,-0.03589743589743588,0.6297738850389452,0.0004328183378386172,0.0014832227536122622,0.00046071321692168983,0.0013676577914589255,0.0,0.0,35,39
O3PPl-R-A,658.0,-0.03589743589743588,0.6297738850389452,0.0004328183378386172,0.0014832227536122622,0.00046071321692168983,0.0013676577914589255,0.0,0.0,35,39
O3PPl-R-AExp,658.0,-0.03589743589743588,0.6297738850389452,0.0004328183378386172,0.0014832227536122622,0.00046071321692168983,0.0013676577914589255,0.0,0.0,35,39
O3PPl-R,658.0,-0.03589743589743588,0.6297738850389452,0.0004328183378386172,0.0014832227536122622,0.00046071321692168983,0.0013676577914589255,0.0,0.0,35,39
CS,727.0,0.06520146520146519,0.633801750929212,0.025835362415589685,0.012284877334905112,0.024895883267143155,0.011523575070151391,0.0276008492569002,0.0241935483870967,35,39
O3PSg,726.0,0.06373626373626373,0.6415038446758763,0.03731969663621412,0.03115132536475286,0.03222511409722595,0.026971022085375496,0.0249307479224376,0.0277777777777777,35,39
O3PSg+R+I-ASUB,641.0,-0.06080586080586081,0.644684270245856,0.004829019735667232,0.006126066559244241,0.005576827143361997,0.007440709554349284,0.0029585798816568,0.0047619047619047,35,39
O3PPl+R-APREPES,707.0,0.03589743589743599,0.6471854383108414,0.0004129809271799428,0.0010702889482985928,0.000402449333030941,0.0013257335318356618,0.0,0.0,35,39
O3PSg+R+ASUBES,668.0,-0.02124542124542128,0.6573601590188295,0.00042016806722688856,0.0024857478080250344,0.0004148634483121179,0.0018275211379461449,0.0,0.0,35,39
O3PSg+R+AOBJES,668.0,-0.02124542124542128,0.6573601590188295,0.00021008403361344284,0.001242873904012509,0.00023318790431773332,0.0011527696334404699,0.0,0.0,35,39
O3PSg+R+ASUB,668.0,-0.02124542124542128,0.6573601590188295,0.0010504201680672258,0.006214369520062616,0.0006810332646549461,0.0031075940688123404,0.0,0.0,35,39
N1P,719.0,0.05347985347985351,0.6637693695297218,0.0034339935080254084,0.00527394486256557,0.0028728708737532434,0.0044228969958798004,0.0,0.0,35,39
ES,643.5,-0.05714285714285716,0.6768014526407649,0.08644824167406788,0.01937766037944174,0.08816669150704735,0.02354520163494551,0.0808823529411764,0.0866336633663366,35,39
O1PSg,720.5,0.0556776556776557,0.6847411472098782,0.08852105015445304,0.029964458017838216,0.08060976113430145,0.04007424547138316,0.087248322147651,0.0893854748603352,35,39
ESTRUNC,715.5,0.0483516483516484,0.6864649232856621,0.002217510797374603,0.003099978992546776,0.0020550504610188074,0.003409544657132012,0.0,0.0,35,39
